School Name,Borough,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Zip Code,address_full2,Lat,Lon
P.S. 101 - BROOKLYN,K,21,Addition,65999000,CAP,K101,2360 BENSON AVENUE,Brooklyn,11214,"2360 BENSON AVENUE, Brooklyn 11214",40.59763,-73.99173
P.S./I.S. 338 - BROOKLYN,K,22,Demo,739309,CAP,K338,510 CONEY ISLAND AVE,Brooklyn,11218,"510 CONEY ISLAND AVE, Brooklyn 11218",40.64502,-73.9709
P.S./I.S. 338 - BROOKLYN,K,22,New,67683691,CAP,K338,510 CONEY ISLAND AVE,Brooklyn,11218,"510 CONEY ISLAND AVE, Brooklyn 11218",40.64502,-73.9709
PRE-K CENTER @ 369 93RD STREET - BROOKLYN,K,20,New,27637000,CAP,K613,369 93RD STREET,Brooklyn,11209,"369 93RD STREET, Brooklyn 11209",40.61816,-74.03108
PRE-K CENTER @ 219 25TH STREET - BROOKLYN,K,15,Lease,8464400,CAP,K661,219 25TH STREET,Brooklyn,11232,"219 25TH STREET, Brooklyn 11232",40.66016,-73.99703
PRE-K CENTER @ 1223 CONEY ISLAND AVENUE - BROOKLYN,K,21,Lease,6584000,CAP,K672,1223 CONEY ISLAND AVENUE,Brooklyn,11230,"1223 CONEY ISLAND AVENUE, Brooklyn 11230",40.62781,-73.96555
P.S. 677 - BROOKLYN,K,84,Lease,0,CAP,K677,139 MENAHAN STREET,Brooklyn,11221,"139 MENAHAN STREET, Brooklyn 11221",40.69564788,-73.91961655
P.S. 677 - BROOKLYN,K,84,Lease,3165000,CAP,K677,139 MENAHAN STREET,Brooklyn,11221,"139 MENAHAN STREET, Brooklyn 11221",40.69564788,-73.91961655
PRE-K CENTER @ 1423 62ND STREET - BROOKLYN,K,20,Lease,24882000,CAP,K678,1423 62ND STREET,Brooklyn,11219,"1423 62ND STREET, Brooklyn 11219",40.625462,-73.996443
PRE-K CENTER @ 1355 84TH STREET - BROOKLYN,K,20,Lease,0,CAP,K762,1355 84TH STREET,Brooklyn,11228,"1355 84TH STREET, Brooklyn 11228",40.614504,-74.010994
P.S. 884 - BROOKLYN,K,84,Lease,0,CAP,K884,15 SNYDER AVENUE,Brooklyn,11226,"15 SNYDER AVENUE, Brooklyn 11226",40.64867,-73.9575
